,council_name,number,person_name
0,令和 2年 第1回定例会（第1日2月27日）,1,髙島佐浪枝
1,令和 2年 第1回定例会（第1日2月27日）,2,鴻野潔
2,令和 2年 第1回定例会（第1日2月27日）,3,中村明子
3,令和 2年 第1回定例会（第1日2月27日）,4,市來隼
4,令和 2年 第1回定例会（第1日2月27日）,5,江澤由
5,令和 2年 第1回定例会（第1日2月27日）,6,岡田安弘
6,令和 2年 第1回定例会（第1日2月27日）,7,甲斐隆志
7,令和 2年 第1回定例会（第1日2月27日）,8,遠矢家永子
8,令和 2年 第1回定例会（第1日2月27日）,9,五十嵐秀城
9,令和 2年 第1回定例会（第1日2月27日）,10,三井泰之
10,令和 2年 第1回定例会（第1日2月27日）,11,笹内和志
11,令和 2年 第1回定例会（第1日2月27日）,12,竹中健
12,令和 2年 第1回定例会（第1日2月27日）,13,真鍋宗一郎
13,令和 2年 第1回定例会（第1日2月27日）,14,木本祐
14,令和 2年 第1回定例会（第1日2月27日）,15,森本信之
15,令和 2年 第1回定例会（第1日2月27日）,16,岡井寿美代
16,令和 2年 第1回定例会（第1日2月27日）,17,出町ゆかり
17,令和 2年 第1回定例会（第1日2月27日）,19,宮田俊治
18,令和 2年 第1回定例会（第1日2月27日）,20,吉田忠則
19,令和 2年 第1回定例会（第1日2月27日）,21,吉田章浩
20,令和 2年 第1回定例会（第1日2月27日）,22,平田裕也
21,令和 2年 第1回定例会（第1日2月27日）,23,山口重雄
22,令和 2年 第1回定例会（第1日2月27日）,24,吉田稔弘
23,令和 2年 第1回定例会（第1日2月27日）,25,強田純子
24,令和 2年 第1回定例会（第1日2月27日）,26,宮本雄一郎
25,令和 2年 第1回定例会（第1日2月27日）,27,川口洋一
26,令和 2年 第1回定例会（第1日2月27日）,28,北岡隆浩
27,令和 2年 第1回定例会（第1日2月27日）,29,灰垣和美
28,令和 2年 第1回定例会（第1日2月27日）,30,福井浩二
29,令和 2年 第1回定例会（第1日2月27日）,31,岩為俊
30,令和 2年 第1回定例会（第1日2月27日）,32,久保隆
31,令和 2年 第1回定例会（第1日2月27日）,33,中浜実
32,令和 2年 第1回定例会（第1日2月27日）,34,中村玲子
33,令和 2年 第1回定例会（第2日3月4日）,1,髙島佐浪枝
34,令和 2年 第1回定例会（第2日3月4日）,2,鴻野潔
35,令和 2年 第1回定例会（第2日3月4日）,3,中村明子
36,令和 2年 第1回定例会（第2日3月4日）,4,市來隼
37,令和 2年 第1回定例会（第2日3月4日）,5,江澤由
38,令和 2年 第1回定例会（第2日3月4日）,6,岡田安弘
39,令和 2年 第1回定例会（第2日3月4日）,7,甲斐隆志
40,令和 2年 第1回定例会（第2日3月4日）,8,遠矢家永子
41,令和 2年 第1回定例会（第2日3月4日）,9,五十嵐秀城
42,令和 2年 第1回定例会（第2日3月4日）,10,三井泰之
43,令和 2年 第1回定例会（第2日3月4日）,11,笹内和志
44,令和 2年 第1回定例会（第2日3月4日）,12,竹中健
45,令和 2年 第1回定例会（第2日3月4日）,13,真鍋宗一郎
46,令和 2年 第1回定例会（第2日3月4日）,14,木本祐
47,令和 2年 第1回定例会（第2日3月4日）,15,森本信之
48,令和 2年 第1回定例会（第2日3月4日）,16,岡井寿美代
49,令和 2年 第1回定例会（第2日3月4日）,17,出町ゆかり
50,令和 2年 第1回定例会（第2日3月4日）,18,髙木隆太
51,令和 2年 第1回定例会（第2日3月4日）,19,宮田俊治
52,令和 2年 第1回定例会（第2日3月4日）,20,吉田忠則
53,令和 2年 第1回定例会（第2日3月4日）,21,吉田章浩
54,令和 2年 第1回定例会（第2日3月4日）,22,平田裕也
55,令和 2年 第1回定例会（第2日3月4日）,23,山口重雄
56,令和 2年 第1回定例会（第2日3月4日）,24,吉田稔弘
57,令和 2年 第1回定例会（第2日3月4日）,25,強田純子
58,令和 2年 第1回定例会（第2日3月4日）,26,宮本雄一郎
